path,label,annotated_at
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000001.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000002.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000003.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000004.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000005.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000006.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000007.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000008.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000009.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000010.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000011.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000012.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000013.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000014.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000015.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000016.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000017.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000018.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000019.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000020.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000021.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000022.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000023.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000024.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000025.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000026.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000027.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000028.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000029.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000030.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000031.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000032.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000033.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000034.png,0,2026-05-03T11:34:26
/data/virtuoso_cao_demo/tissue_36/3_resect/20260226-154046-067278/endoscope/frame000035.png,0,2026-05-03T11:34:26
